# packages in environment at /export/apps/bioconda:
#
# Name                    Version                   Build  Channel
bleach                    6.1.0              pyhd8ed1ab_0    conda-forge
blosc                     1.21.6               hef167b5_0    conda-forge
boltons                   23.0.0             pyhd8ed1ab_0    conda-forge
boto3                     1.38.8             pyhd8ed1ab_0    conda-forge
botocore                  1.38.8          pyge310_1234567_0    conda-forge
bowtie                    1.3.1           py310h4971c18_9    bioconda
bowtie2                   2.5.4                he96a11b_5    bioconda
brotli                    1.1.0                hd590300_0    conda-forge
brotli-bin                1.1.0                hd590300_0    conda-forge
brotli-python             1.1.0           py310hc6cd4ac_0    conda-forge
bwa                       0.7.19               h577a1d6_1    bioconda
bwidget                   1.9.14               ha770c72_1    conda-forge
bzip2                     1.0.8                h7f98852_4    conda-forge
c-ares                    1.28.1               hd590300_0    conda-forge
ca-certificates           2026.1.4             hbd8a1cb_0    conda-forge
cached-property           1.5.2                hd8ed1ab_1    conda-forge
cached_property           1.5.2              pyha770c72_1    conda-forge
cachetools                5.5.2              pyhd8ed1ab_0    conda-forge
cairo                     1.18.2               h5e7d6dc_0    conda-forge
certifi                   2026.1.4           pyhd8ed1ab_0    conda-forge
cffi                      1.15.1          py310h255011f_3    conda-forge
cfitsio                   4.4.1                hf8ad068_0    conda-forge
charset-normalizer        3.2.0              pyhd8ed1ab_0    conda-forge
checkm-genome             1.2.3              pyhdfd78af_1    bioconda
click                     8.1.8              pyh707e725_0    conda-forge
clustalo                  1.2.4                hdbdd923_7    bioconda
clustalw                  2.1                  h4ac6f70_9    bioconda
coin-or-cbc               2.10.12              h8b142ea_1    conda-forge
coin-or-cgl               0.60.7               h516709c_0    conda-forge
coin-or-clp               1.17.8               h1ee7a9c_0    conda-forge
coin-or-osi               0.108.10             haf5fa05_0    conda-forge
coin-or-utils             2.11.11              hee58242_0    conda-forge
coincbc                   2.10.12           2_metapackage    conda-forge
colorama                  0.4.6              pyhd8ed1ab_0    conda-forge
coloredlogs               15.0.1             pyhd8ed1ab_4    conda-forge
colormath                 3.0.0              pyhd8ed1ab_4    conda-forge
comm                      0.2.2              pyhd8ed1ab_0    conda-forge
conda                     24.5.0          py310hff52083_0    conda-forge
conda-libmamba-solver     24.1.0             pyhd8ed1ab_0    conda-forge
conda-package-handling    2.2.0              pyh38be061_0    conda-forge
conda-package-streaming   0.9.0              pyhd8ed1ab_0    conda-forge
configargparse            1.7                pyhd8ed1ab_1    conda-forge
connection_pool           0.0.3              pyhd3deb0d_0    conda-forge
contourpy                 1.2.1           py310hd41b1e2_0    conda-forge
coreutils                 8.25                          1    bioconda
cpython                   3.10.19         py310hd8ed1ab_2    conda-forge
cryptography              41.0.3          py310h75e40e8_0    conda-forge
curl                      8.8.0                he654da7_0    conda-forge
cutadapt                  4.5             py310h4b81fae_0    bioconda
cycler                    0.12.1             pyhd8ed1ab_0    conda-forge
datrie                    0.8.2           py310ha75aee5_8    conda-forge
dbus                      1.13.6               h5008d03_3    conda-forge
debugpy                   1.8.1           py310hc6cd4ac_0    conda-forge
decorator                 5.1.1              pyhd8ed1ab_0    conda-forge
defusedxml                0.7.1              pyhd8ed1ab_0    conda-forge
dendropy                  5.0.1              pyhdfd78af_0    bioconda
diamond                   2.1.12               h13889ed_3    bioconda
distro                    1.9.0              pyhd8ed1ab_0    conda-forge
dnaio                     1.1.0           py310h4b81fae_0    bioconda
docutils                  0.21.2             pyhd8ed1ab_1    conda-forge
dpath                     2.2.0              pyha770c72_0    conda-forge
dropbox                   12.0.2             pyhd8ed1ab_1    conda-forge
eido                      0.2.4              pyhd8ed1ab_0    conda-forge
entrez-direct             22.4                 he881be0_0    bioconda
entrypoints               0.4                pyhd8ed1ab_0    conda-forge
exceptiongroup            1.2.0              pyhd8ed1ab_2    conda-forge
executing                 2.0.1              pyhd8ed1ab_0    conda-forge
expat                     2.7.1                hecca717_0    conda-forge
fastqc                    0.12.1               hdfd78af_0    bioconda
figtree                   1.4.4                hdfd78af_1    bioconda
filechunkio               1.8                        py_2    conda-forge
filelock                  3.15.4             pyhd8ed1ab_0    conda-forge
flye                      2.9.5           py310ha025fb0_1    bioconda
fmt                       10.2.1               h00ab1b0_0    conda-forge
font-ttf-dejavu-sans-mono 2.37                 hab24e00_0    conda-forge
font-ttf-inconsolata      3.000                h77eed37_0    conda-forge
font-ttf-source-code-pro  2.038                h77eed37_0    conda-forge
font-ttf-ubuntu           0.83                 hab24e00_0    conda-forge
fontconfig                2.15.0               h7e30c49_1    conda-forge
fonts-conda-ecosystem     1                             0    conda-forge
fonts-conda-forge         1                             0    conda-forge
fonttools                 4.51.0          py310h2372a71_0    conda-forge
formulaic                 1.1.1              pyhd8ed1ab_0    conda-forge
formulaic-contrasts       1.0.0              pyhdfd78af_0    bioconda
fqdn                      1.5.1              pyhd8ed1ab_0    conda-forge
freetype                  2.12.1               h267a509_2    conda-forge
freexl                    2.0.0                h743c826_0    conda-forge
fribidi                   1.0.10               h36c2ea0_0    conda-forge
frozendict                2.4.4           py310hc51659f_0    conda-forge
frozenlist                1.5.0           py310h89163eb_1    conda-forge
ftputil                   5.1.0              pyhd8ed1ab_0    conda-forge
gawk                      5.3.0                ha916aea_0    conda-forge
gblocks                   0.91b                h9ee0642_2    bioconda
gcc_impl_linux-64         13.1.0               hc4be1a9_0    conda-forge
gdc-client                2.3                pyhdfd78af_1    bioconda
gdown                     5.2.0              pyhd8ed1ab_0    conda-forge
geos                      3.12.1               h59595ed_0    conda-forge
geotiff                   1.7.3                hf7fa9e8_2    conda-forge
gettext                   0.21.1               h27087fc_0    conda-forge
gflags                    2.2.2             he1b5a44_1004    conda-forge
gfortran_impl_linux-64    13.1.0               hd511a9b_0    conda-forge
giflib                    5.2.2                hd590300_0    conda-forge
gitdb                     4.0.12             pyhd8ed1ab_0    conda-forge
gitpython                 3.1.44             pyhff2d567_0    conda-forge
glew                      2.1.0                h9c3ff4c_2    conda-forge
glib                      2.82.2               h07242d1_1    conda-forge
glib-tools                2.82.2               h4833e2c_1    conda-forge
glimmer                   3.02                 h87f3376_6    bioconda
glm                       0.9.9.8              h00ab1b0_0    conda-forge
glog                      0.7.1                hbabe93e_0    conda-forge
glpk                      5.0                  h445213a_0    conda-forge
gmp                       6.3.0                h59595ed_0    conda-forge
google-api-core           2.24.2             pyhd8ed1ab_0    conda-forge
google-api-python-client  2.169.0            pyhff2d567_0    conda-forge
google-auth               2.39.0             pyhd8ed1ab_0    conda-forge
google-auth-httplib2      0.2.0              pyhd8ed1ab_1    conda-forge
google-cloud-core         2.4.3              pyhd8ed1ab_0    conda-forge
google-cloud-storage      3.1.0              pyhd8ed1ab_0    conda-forge
google-crc32c             1.7.1           py310hd027165_0    conda-forge
google-resumable-media    2.7.2              pyhd8ed1ab_2    conda-forge
googleapis-common-protos  1.70.0             pyhd8ed1ab_0    conda-forge
graphite2                 1.3.13            h58526e2_1001    conda-forge
graphlib-backport         1.0.3              pyhd8ed1ab_0    conda-forge
grpcio                    1.62.2          py310h1b8f574_0    conda-forge
gsl                       2.7                  he838d99_0    conda-forge
gst-plugins-base          1.24.7               h0a52356_0    conda-forge
gstreamer                 1.24.7               hf3bb09a_0    conda-forge
gxx_impl_linux-64         13.1.0               hc4be1a9_0    conda-forge
h11                       0.14.0             pyhd8ed1ab_0    conda-forge
h2                        4.1.0              pyhd8ed1ab_0    conda-forge
h5py                      3.11.0          nompi_py310h65828d5_100    conda-forge
harfbuzz                  10.4.0               h76408a6_0    conda-forge
hdf4                      4.2.15               h2a13503_7    conda-forge
hdf5                      1.14.3          nompi_hdf9ad27_105    conda-forge
hisat2                    2.2.1                hdbdd923_6    bioconda
hmmer                     3.4                  hdbdd923_0    bioconda
hpack                     4.0.0              pyh9f0ad1d_0    conda-forge
htslib                    1.21                 h5efdd21_0    bioconda
httpcore                  1.0.5              pyhd8ed1ab_0    conda-forge
httplib2                  0.22.0             pyhd8ed1ab_1    conda-forge
httpx                     0.27.0             pyhd8ed1ab_0    conda-forge
humanfriendly             10.0               pyh707e725_8    conda-forge
humanize                  4.14.0             pyhd8ed1ab_0    conda-forge
hyperframe                6.0.1              pyhd8ed1ab_0    conda-forge
icu                       75.1                 he02047a_0    conda-forge
idna                      3.4                pyhd8ed1ab_0    conda-forge
igraph                    0.10.13              hef0740d_0    conda-forge
importlib-metadata        7.1.0              pyha770c72_0    conda-forge
importlib_metadata        7.1.0                hd8ed1ab_0    conda-forge
importlib_resources       6.4.0              pyhd8ed1ab_0    conda-forge
infernal                  1.1.4                h779adbc_0    bioconda
iniconfig                 2.0.0              pyhd8ed1ab_1    conda-forge
intarna                   1.2.5                         2    bioconda
interface_meta            1.3.0              pyhd8ed1ab_1    conda-forge
intervaltree              3.1.0              pyhd8ed1ab_1    conda-forge
ipykernel                 6.29.3             pyhd33586a_0    conda-forge
ipython                   8.22.2             pyh707e725_0    conda-forge
ipywidgets                8.1.2              pyhd8ed1ab_0    conda-forge
iqtree                    3.0.1                h503566f_0    bioconda
isa-l                     2.30.0               hd590300_6    conda-forge
isoduration               20.11.0            pyhd8ed1ab_0    conda-forge
ivar                      1.4.4                h077b44d_0    bioconda
jedi                      0.19.1             pyhd8ed1ab_0    conda-forge
jinja2                    3.1.3              pyhd8ed1ab_0    conda-forge
jmespath                  1.0.1              pyhd8ed1ab_1    conda-forge
joblib                    1.4.0              pyhd8ed1ab_0    conda-forge
json-c                    0.17                 h7ab15ed_0    conda-forge
json5                     0.9.25             pyhd8ed1ab_0    conda-forge
jsonpatch                 1.32               pyhd8ed1ab_0    conda-forge
jsonpointer               2.0                        py_0    conda-forge
jsonschema                4.21.1             pyhd8ed1ab_0    conda-forge
jsonschema-specifications 2023.12.1          pyhd8ed1ab_0    conda-forge
jsonschema-with-format-nongpl 4.21.1             pyhd8ed1ab_0    conda-forge
jupyter                   1.0.0             pyhd8ed1ab_10    conda-forge
jupyter-lsp               2.2.5              pyhd8ed1ab_0    conda-forge
jupyter_client            8.6.1              pyhd8ed1ab_0    conda-forge
jupyter_console           6.6.3              pyhd8ed1ab_0    conda-forge
jupyter_core              5.7.2           py310hff52083_0    conda-forge
jupyter_events            0.10.0             pyhd8ed1ab_0    conda-forge
jupyter_server            2.14.0             pyhd8ed1ab_0    conda-forge
jupyter_server_terminals  0.5.3              pyhd8ed1ab_0    conda-forge
jupyterlab                4.1.7              pyhd8ed1ab_0    conda-forge
jupyterlab_pygments       0.3.0              pyhd8ed1ab_1    conda-forge
jupyterlab_server         2.27.1             pyhd8ed1ab_0    conda-forge
jupyterlab_widgets        3.0.10             pyhd8ed1ab_0    conda-forge
kaleido-core              0.2.1                h3644ca4_0    conda-forge
kealib                    1.5.3                hee9dde6_1    conda-forge
kernel-headers_linux-64   2.6.32              he073ed8_16    conda-forge
keyutils                  1.6.1                h166bdaf_0    conda-forge
kiwisolver                1.4.5           py310hd41b1e2_1    conda-forge
krb5                      1.21.3               h659f571_0    conda-forge
lame                      3.100             h166bdaf_1003    conda-forge
lcms2                     2.16                 hb7c19ff_0    conda-forge
ld_impl_linux-64          2.40                 h41732ed_0    conda-forge
leidenalg                 0.10.2          py310hc6cd4ac_0    conda-forge
lerc                      4.0.0                h27087fc_0    conda-forge
libabseil                 20240116.2      cxx17_he02047a_1    conda-forge
libaec                    1.1.3                h59595ed_0    conda-forge
libarchive                3.7.4                hfca40fe_0    conda-forge
libarrow                  16.1.0           h9102155_9_cpu    conda-forge
libarrow-acero            16.1.0           hac33072_9_cpu    conda-forge
libarrow-dataset          16.1.0           hac33072_9_cpu    conda-forge
libarrow-substrait        16.1.0           h7e0c224_9_cpu    conda-forge
libasprintf               0.22.5               he8f35ee_3    conda-forge
libblas                   3.9.0           20_linux64_openblas    conda-forge
libboost-headers          1.85.0               ha770c72_1    conda-forge
libbrotlicommon           1.1.0                hd590300_0    conda-forge
libbrotlidec              1.1.0                hd590300_0    conda-forge
libbrotlienc              1.1.0                hd590300_0    conda-forge
libcap                    2.69                 h0f662aa_0    conda-forge
libcblas                  3.9.0           20_linux64_openblas    conda-forge
libclang                  15.0.7          default_h127d8a8_5    conda-forge
libclang-cpp15            15.0.7          default_h127d8a8_5    conda-forge
libclang13                15.0.7          default_h5d6823c_5    conda-forge
libcrc32c                 1.1.2                h9c3ff4c_0    conda-forge
libcups                   2.3.3                hb8b1518_5    conda-forge
libcurl                   8.8.0                hca28451_0    conda-forge
libdeflate                1.20                 hd590300_0    conda-forge
libdrm                    2.4.125              hb03c661_1    conda-forge
libedit                   3.1.20191231         he28a2e2_2    conda-forge
libegl                    1.7.0                ha4b6fd6_0    conda-forge
libev                     4.33                 h516909a_1    conda-forge
libevent                  2.1.12               hf998b51_1    conda-forge
libexpat                  2.7.1                hecca717_0    conda-forge
libffi                    3.4.2                h7f98852_5    conda-forge
libflac                   1.4.3                h59595ed_0    conda-forge
libgcc                    14.1.0               h77fa898_1    conda-forge
libgcc-devel_linux-64     13.1.0               he3cc6c4_0    conda-forge
libgcc-ng                 14.1.0               h69a702a_1    conda-forge
libgcrypt                 1.11.0               h4ab18f5_1    conda-forge
libgdal                   3.9.1                h086a8f6_3    conda-forge
libgettextpo              0.22.5               he02047a_3    conda-forge
libgfortran-ng            13.2.0               h69a702a_0    conda-forge
libgfortran5              13.2.0               ha4646dd_0    conda-forge
libgit2                   1.8.4                hd24f944_1    conda-forge
libgl                     1.7.0                ha4b6fd6_0    conda-forge
libglib                   2.82.2               h2ff4ddf_1    conda-forge
libglu                    9.0.3                h5888daf_1    conda-forge
libglvnd                  1.7.0                ha4b6fd6_0    conda-forge
libglx                    1.7.0                ha4b6fd6_0    conda-forge
libgomp                   14.1.0               h77fa898_1    conda-forge
libgoogle-cloud           2.25.0               h2736e30_0    conda-forge
libgoogle-cloud-storage   2.25.0               h3d9a0c8_0    conda-forge
libgpg-error              1.50                 h4f305b6_0    conda-forge
libgrpc                   1.62.2               h15f2491_0    conda-forge
libhwloc                  2.10.0          default_h5622ce7_1001    conda-forge
libiconv                  1.17                 h166bdaf_0    conda-forge
libidn11                  1.34                 h1cef754_0    conda-forge
libidn2                   2.3.4                h166bdaf_0    conda-forge
libjpeg-turbo             3.0.0                hd590300_1    conda-forge
libkml                    1.3.0             h01aab08_1018    conda-forge
liblapack                 3.9.0           20_linux64_openblas    conda-forge
liblapacke                3.9.0           20_linux64_openblas    conda-forge
libleidenalg              0.11.1               h00ab1b0_0    conda-forge
libllvm15                 15.0.7               hb3ce162_4    conda-forge
liblzma                   5.8.1                hb9d3cd8_2    conda-forge
liblzma-devel             5.8.1                hb9d3cd8_2    conda-forge
libmamba                  1.5.8                had39da4_0    conda-forge
libmambapy                1.5.8           py310h39ff949_0    conda-forge
libnetcdf                 4.9.2           nompi_h9612171_113    conda-forge
libnghttp2                1.58.0               h47da74e_1    conda-forge
libnl                     3.9.0                hd590300_0    conda-forge
libnsl                    2.0.1                hd590300_0    conda-forge
libnuma                   2.0.16               h0b41bf4_1    conda-forge
libogg                    1.3.5                h4ab18f5_0    conda-forge
libopenblas               0.3.25          pthreads_h413a1c8_0    conda-forge
libopengl                 1.7.0                ha4b6fd6_0    conda-forge
libopus                   1.3.1                h7f98852_1    conda-forge
libparquet                16.1.0           h6a7eafb_9_cpu    conda-forge
libpciaccess              0.18                 hb9d3cd8_0    conda-forge
libpng                    1.6.50               h421ea60_1    conda-forge
libpq                     16.7                 h87c4ccc_0    conda-forge
libprotobuf               4.25.3               hd5b35b9_1    conda-forge
libre2-11                 2023.09.01           h5a48ba9_2    conda-forge
librttopo                 1.1.0               h8917695_15    conda-forge
libsanitizer              13.1.0               hfd8a6a1_0    conda-forge
libsndfile                1.2.2                hc60ed4a_1    conda-forge
libsodium                 1.0.18               h36c2ea0_1    conda-forge
libsolv                   0.7.34               h9463b59_0    conda-forge
libspatialite             5.1.0                h6fbd9c4_7    conda-forge
libsqlite                 3.50.3               h0c1763c_0    conda-forge
libssh2                   1.11.1               hcf80075_0    conda-forge
libstdcxx                 14.1.0               hc0a3c3a_1    conda-forge
libstdcxx-devel_linux-64  13.1.0               he3cc6c4_0    conda-forge
libstdcxx-ng              13.1.0               hfd8a6a1_0    conda-forge
libsystemd0               256.7                h2774228_1    conda-forge
libthrift                 0.19.0               hb90f79a_1    conda-forge
libtiff                   4.6.0                h1dd3fc0_3    conda-forge
libtool                   2.4.7                h27087fc_0    conda-forge
libudunits2               2.2.28               h40f5838_3    conda-forge
libunistring              0.9.10               h7f98852_0    conda-forge
libutf8proc               2.8.0                h166bdaf_0    conda-forge
libuuid                   2.38.1               h0b41bf4_0    conda-forge
libvorbis                 1.3.7                h9c3ff4c_0    conda-forge
libwebp-base              1.6.0                hd42ef1d_0    conda-forge
libxcb                    1.16                 hb9d3cd8_1    conda-forge
libxcrypt                 4.4.36               hd590300_1    conda-forge
libxkbcommon              1.7.0                h2c5496b_1    conda-forge
libxml2                   2.13.5               h8d12d68_1    conda-forge
libxslt                   1.1.39               h76b75d6_0    conda-forge
libzip                    1.10.1               h2629f0a_3    conda-forge
libzlib                   1.3.1                hb9d3cd8_2    conda-forge
logmuse                   0.2.8              pyhd8ed1ab_1    conda-forge
lxml                      5.3.0           py310h6ee67d5_2    conda-forge
lz4-c                     1.9.4                hcb278e6_0    conda-forge
lzo                       2.10              h516909a_1000    conda-forge
mafft                     7.526                h4ab18f5_0    conda-forge
make                      4.3                  hd18ef5c_1    conda-forge
mamba                     1.5.8           py310h51d5547_0    conda-forge
markdown                  3.10               pyhcf101f3_1    conda-forge
markdown-it-py            3.0.0              pyhd8ed1ab_1    conda-forge
markupsafe                2.1.5           py310h2372a71_0    conda-forge
mathjax                   2.7.7                ha770c72_3    conda-forge
matplotlib-base           3.8.4           py310h62c0568_0    conda-forge
matplotlib-inline         0.1.7              pyhd8ed1ab_0    conda-forge
mdurl                     0.1.2              pyhd8ed1ab_1    conda-forge
menuinst                  2.1.0           py310hff52083_0    conda-forge
metavelvet                1.2.02                        1    bioconda
minced                    0.4.2                hdfd78af_1    bioconda
minizip                   4.0.6                h9d307f2_0    conda-forge
mistune                   3.0.2              pyhd8ed1ab_0    conda-forge
mpfr                      4.2.1                h9458935_1    conda-forge
mpg123                    1.32.8               hc50e24c_0    conda-forge
mpi                       1.0                     openmpi    conda-forge
mrbayes                   3.2.7                h1b649f3_6    bioconda
multidict                 6.4.3           py310h89163eb_0    conda-forge
multiqc                   1.33               pyhdfd78af_0    bioconda
mummer                    3.23                 pl5.22.0_5    bioconda
munkres                   1.0.7                      py_1    bioconda
muscle                    5.1                  h4ac6f70_3    bioconda
mysql-common              9.0.1                h266115a_4    conda-forge
mysql-connector-python    9.0.0           py310h1a6248f_1    conda-forge
mysql-libs                9.0.1                he0572af_4    conda-forge
mysqlclient               2.2.7           py310h8c668a6_1    conda-forge
narwhals                  2.13.0             pyhcf101f3_0    conda-forge
natsort                   8.4.0              pyhd8ed1ab_0    conda-forge
nbclient                  0.10.0             pyhd8ed1ab_0    conda-forge
nbconvert                 7.16.3               hd8ed1ab_1    conda-forge
nbconvert-core            7.16.3             pyhd8ed1ab_1    conda-forge
nbconvert-pandoc          7.16.3               hd8ed1ab_1    conda-forge
nbformat                  5.10.4             pyhd8ed1ab_0    conda-forge
ncbi-vdb                  3.2.1                h9948957_0    bioconda
ncurses                   6.5                  h59595ed_0    conda-forge
ndg-httpsclient           0.5.1                      py_1    conda-forge
nest-asyncio              1.6.0              pyhd8ed1ab_0    conda-forge
networkx                  3.4.2              pyh267e887_2    conda-forge
nextflow                  24.04.3              hdfd78af_0    bioconda
nlopt                     2.7.1           py310h46d55b5_4    conda-forge
notebook                  7.1.3              pyhd8ed1ab_0    conda-forge
notebook-shim             0.2.4              pyhd8ed1ab_0    conda-forge
nspr                      4.35                 h27087fc_0    conda-forge
nss                       3.105                hd34e28f_0    conda-forge
numpy                     1.26.3          py310hb13e2d6_0    conda-forge
oauth2client              4.1.3              pyhd8ed1ab_1    conda-forge
openjdk                   21.0.0               haa376d0_0    conda-forge
openjpeg                  2.5.2                h488ebb8_0    conda-forge
openmpi                   4.1.6              hc5af2df_101    conda-forge
openssl                   3.6.1                h35e630c_1    conda-forge
orc                       2.0.1                h17fec99_1    conda-forge
ossuuid                   1.6.2             hf484d3e_1000    conda-forge
outcome                   1.3.0.post0        pyhd8ed1ab_0    conda-forge
overrides                 7.7.0              pyhd8ed1ab_0    conda-forge
packaging                 23.1               pyhd8ed1ab_0    conda-forge
pandas                    2.2.1           py310hcc13569_0    conda-forge
pandoc                    3.7.0.2              ha770c72_0    conda-forge
pandocfilters             1.5.0              pyhd8ed1ab_0    conda-forge
pango                     1.56.1               h861ebed_0    conda-forge
parallel                  20170422             pl5.22.0_0    bioconda
paramiko                  3.5.1              pyhd8ed1ab_0    conda-forge
parso                     0.8.4              pyhd8ed1ab_0    conda-forge
patsy                     1.0.1              pyhd8ed1ab_1    conda-forge
pbzip2                    1.1.13               h1fcc475_2    conda-forge
pcre                      8.45                 h9c3ff4c_0    conda-forge
pcre2                     10.44                hc749103_2    conda-forge
pephubclient              0.4.4              pyhd8ed1ab_1    conda-forge
peppy                     0.40.7             pyhd8ed1ab_2    conda-forge
perl                      5.22.0.1                      0    conda-forge
perl-archive-tar          2.18                          1    bioconda
perl-bioperl              1.6.924                       4    bioconda
perl-common-sense         3.74                          0    bioconda
perl-exporter-tiny        0.042                         1    bioconda
perl-json                 2.90                          1    bioconda
perl-json-xs              2.34                          0    bioconda
perl-list-moreutils       0.413                         1    bioconda
perl-module-build         0.4214                        2    bioconda
perl-threaded             5.32.1               hdfd78af_1    bioconda
perl-uri                  1.71                          0    bioconda
perl-velvetoptimiser      2.2.5                         0    bioconda
perl-xml-libxml           2.0124                        0    bioconda
perl-xml-namespacesupport 1.11                          0    bioconda
perl-xml-parser           2.44                          3    bioconda
perl-xml-sax              0.99                          0    bioconda
perl-xml-sax-base         1.08                          0    bioconda
perl-xml-sax-expat        0.51                          0    bioconda
perl-xml-simple           2.22                          0    bioconda
perl-yaml                 1.24                    pl522_1    bioconda
pexpect                   4.9.0              pyhd8ed1ab_0    conda-forge
phyml                     3.3.20220408         h37cc20f_1    bioconda
pickleshare               0.7.5                   py_1003    conda-forge
pigz                      2.8                  hadc24fc_1    conda-forge
pillow                    10.4.0          py310he228d35_1    conda-forge
pip                       23.2.1             pyhd8ed1ab_0    conda-forge
pixman                    0.46.4               h54a6638_1    conda-forge
pkgutil-resolve-name      1.3.10             pyhd8ed1ab_1    conda-forge
plac                      1.4.5              pyhd8ed1ab_0    conda-forge
platformdirs              4.2.1              pyhd8ed1ab_0    conda-forge
plotly                    6.5.0              pyhd8ed1ab_0    conda-forge
pluggy                    1.3.0              pyhd8ed1ab_0    conda-forge
ply                       3.11               pyhd8ed1ab_2    conda-forge
pmw                       2.0.1           py310hff52083_1008    conda-forge
polars                    1.36.0             pyh6a1acc5_0    conda-forge
polars-lts-cpu            1.34.0.deprecated      hc364b38_0    conda-forge
polars-runtime-32         1.36.0          py310hffdcd12_0    conda-forge
polars-runtime-compat     1.36.0          py310hbcd5346_0    conda-forge
poppler                   24.04.0              hb6cd0d7_0    conda-forge
poppler-data              0.4.12               hd8ed1ab_0    conda-forge
postgresql                16.7                 hcf4b71c_0    conda-forge
pplacer                   1.1.alpha19          h9ee0642_2    bioconda
prettytable               3.16.0             pyhd8ed1ab_0    conda-forge
prodigal                  2.6.3                h031d066_9    bioconda
progressbar2              4.5.0              pyhd8ed1ab_1    conda-forge
proj                      9.4.1                hb784bbd_0    conda-forge
prokka                    1.13                          2    bioconda
prometheus_client         0.20.0             pyhd8ed1ab_0    conda-forge
prompt-toolkit            3.0.42             pyha770c72_0    conda-forge
prompt_toolkit            3.0.42               hd8ed1ab_0    conda-forge
propcache                 0.3.1           py310h89163eb_0    conda-forge
proto-plus                1.26.1             pyhd8ed1ab_0    conda-forge
protobuf                  4.25.3          py310h0e2eeba_1    conda-forge
psutil                    5.9.8           py310h2372a71_0    conda-forge
pthread-stubs             0.4               h36c2ea0_1001    conda-forge
ptyprocess                0.7.0              pyhd3deb0d_0    conda-forge
pulp                      2.7.0           py310hff52083_1    conda-forge
pulseaudio-client         17.0                 hb77b528_0    conda-forge
pure_eval                 0.2.2              pyhd8ed1ab_0    conda-forge
pyaml-env                 1.2.2              pyhd8ed1ab_0    conda-forge
pyasn1                    0.6.1              pyhd8ed1ab_2    conda-forge
pyasn1-modules            0.4.2              pyhd8ed1ab_0    conda-forge
