contrast,gene_name,category,biological_reason,gene_id,gene_id_clean,gene_type,baseMean,log2FoldChange,padj,regulation,significant
Lac_24h_vs_M1_24h,Cxcl10,M1 inflamatorio,Quimiocina inducida en activación inflamatoria,ENSMUSG00000034855.14,ENSMUSG00000034855,protein_coding,42419.778984996985,0.3929621641560078,0.01937230847811741,NS,No_DEG
Lac_24h_vs_M1_24h,Dusp1,Regulación / estrés,Regulador de señalización MAPK; apareció entre genes destacados,ENSMUSG00000024190.8,ENSMUSG00000024190,protein_coding,5659.963924419032,1.7617143473423968,2.166110166009072e-100,UP,DEG
Lac_24h_vs_M1_24h,Hcar2,Respuesta a metabolitos,Receptor asociado a señales metabólicas; apareció en genes representativos,ENSMUSG00000045502.7,ENSMUSG00000045502,protein_coding,2496.2703813365124,2.567501691723983,5.428341466717623e-49,UP,DEG
Lac_24h_vs_M1_24h,Hspa1b,Estrés celular,Proteína de choque térmico; posible respuesta a estrés celular,ENSMUSG00000090877.4,ENSMUSG00000090877,protein_coding,6383.382138810836,0.37265554702614634,0.03135460275917122,NS,No_DEG
Lac_24h_vs_M1_24h,Hspa1l,Estrés celular,Proteína de choque térmico; posible respuesta a estrés celular,ENSMUSG00000007033.5,ENSMUSG00000007033,protein_coding,373.950243664063,0.6174021746302129,3.934598950838383e-7,UP,DEG
Lac_24h_vs_M1_24h,Il1b,M1 inflamatorio,Citocina inflamatoria asociada a respuesta innata,ENSMUSG00000027398.14,ENSMUSG00000027398,protein_coding,43216.81627437193,1.972802173955416,2.136148999250002e-16,UP,DEG
Lac_24h_vs_M1_24h,Il6,M1 inflamatorio,Citocina proinflamatoria asociada a activación M1,ENSMUSG00000025746.12,ENSMUSG00000025746,protein_coding,2062.314052264062,1.5133197039166022,7.692270615709955e-12,UP,DEG
Lac_24h_vs_M1_24h,Nos2,M1 inflamatorio,Marcador de activación M1 y producción de óxido nítrico,ENSMUSG00000020826.10,ENSMUSG00000020826,protein_coding,24104.52636928401,3.20459754376699,1.5167983094116946e-106,UP,DEG
Lac_24h_vs_M1_24h,Tnf,M1 inflamatorio,Citocina proinflamatoria asociada a activación M1,ENSMUSG00000024401.15,ENSMUSG00000024401,protein_coding,14965.993964820638,0.5784884697208112,7.128984974925916e-9,UP,DEG
Lac_24h_vs_M1_24h,Vegfa,Homeostático / M2-like,Gen M2-like reportado como sensible a lactato en el contexto del artículo,ENSMUSG00000023951.19,ENSMUSG00000023951,protein_coding,3717.862352374108,0.911228076273248,2.640758003627784e-16,UP,DEG
Lac_8h_vs_M1_8h,Arg1,Homeostático / M2-like,Gen destacado en el modelo de lactato/lactilación; metabolismo de arginina y reparación,ENSMUSG00000019987.10,ENSMUSG00000019987,protein_coding,25501.470154949537,-1.3218678609555137,8.168762984333111e-5,DOWN,DEG
Lac_8h_vs_M1_8h,Cd9,Estado celular / membrana,Gen representativo observado en el heatmap del análisis,ENSMUSG00000030342.9,ENSMUSG00000030342,protein_coding,12792.433176975326,-0.28411697572650124,8.15576030480371e-4,NS,No_DEG
Lac_8h_vs_M1_8h,Cxcl10,M1 inflamatorio,Quimiocina inducida en activación inflamatoria,ENSMUSG00000034855.14,ENSMUSG00000034855,protein_coding,42419.778984996985,0.5112534962613853,9.228863081132728e-4,UP,DEG
Lac_8h_vs_M1_8h,Dusp1,Regulación / estrés,Regulador de señalización MAPK; apareció entre genes destacados,ENSMUSG00000024190.8,ENSMUSG00000024190,protein_coding,5659.963924419032,-0.2699676418340057,0.00225509534336601,NS,No_DEG
Lac_8h_vs_M1_8h,Hcar2,Respuesta a metabolitos,Receptor asociado a señales metabólicas; apareció en genes representativos,ENSMUSG00000045502.7,ENSMUSG00000045502,protein_coding,2496.2703813365124,0.1575064850078478,0.34020439678690995,NS,No_DEG
Lac_8h_vs_M1_8h,Hspa1b,Estrés celular,Proteína de choque térmico; posible respuesta a estrés celular,ENSMUSG00000090877.4,ENSMUSG00000090877,protein_coding,6383.382138810836,0.8670965042258195,1.1248189930464376e-8,UP,DEG
Lac_8h_vs_M1_8h,Hspa1l,Estrés celular,Proteína de choque térmico; posible respuesta a estrés celular,ENSMUSG00000007033.5,ENSMUSG00000007033,protein_coding,373.950243664063,1.1918466886397685,1.0518687605687111e-47,UP,DEG
Lac_8h_vs_M1_8h,Il1b,M1 inflamatorio,Citocina inflamatoria asociada a respuesta innata,ENSMUSG00000027398.14,ENSMUSG00000027398,protein_coding,43216.81627437193,0.07340478002819893,0.8020824055609539,NS,No_DEG
Lac_8h_vs_M1_8h,Il6,M1 inflamatorio,Citocina proinflamatoria asociada a activación M1,ENSMUSG00000025746.12,ENSMUSG00000025746,protein_coding,2062.314052264062,0.5376428752435696,3.05906422246357e-7,UP,DEG
Lac_8h_vs_M1_8h,Nos2,M1 inflamatorio,Marcador de activación M1 y producción de óxido nítrico,ENSMUSG00000020826.10,ENSMUSG00000020826,protein_coding,24104.52636928401,1.0977867695984267,2.765033933444672e-13,UP,DEG
Lac_8h_vs_M1_8h,Tnf,M1 inflamatorio,Citocina proinflamatoria asociada a activación M1,ENSMUSG00000024401.15,ENSMUSG00000024401,protein_coding,14965.993964820638,0.2937245522731187,0.00134257196111542,NS,No_DEG
Lac_8h_vs_M1_8h,Vegfa,Homeostático / M2-like,Gen M2-like reportado como sensible a lactato en el contexto del artículo,ENSMUSG00000023951.19,ENSMUSG00000023951,protein_coding,3717.862352374108,0.23600968368115915,0.05001519645502242,NS,No_DEG
